Divisão;Livro;Capítulo;Versículos;Palavras;Caracteres
Velho Testamento;Gênesis;'1';31;726;3531
Velho Testamento;Gênesis;'2';25;574;2733
Velho Testamento;Gênesis;'3';24;588;2955
Velho Testamento;Gênesis;'4';26;596;2884
Velho Testamento;Gênesis;'5';32;495;2520
Velho Testamento;Gênesis;'6';22;525;2714
Velho Testamento;Gênesis;'7';24;553;2770
Velho Testamento;Gênesis;'8';22;531;2630
Velho Testamento;Gênesis;'9';29;612;3076
Velho Testamento;Gênesis;'10';32;465;2400
Velho Testamento;Gênesis;'11';32;588;2889
Velho Testamento;Gênesis;'12';20;466;2375
Velho Testamento;Gênesis;'13';18;417;2086
Velho Testamento;Gênesis;'14';24;571;2924
Velho Testamento;Gênesis;'15';21;405;2100
Velho Testamento;Gênesis;'16';16;384;1934
Velho Testamento;Gênesis;'17';27;626;3347
Velho Testamento;Gênesis;'18';33;754;4014
Velho Testamento;Gênesis;'19';38;988;5253
Velho Testamento;Gênesis;'20';18;453;2391
Velho Testamento;Gênesis;'21';34;668;3487
Velho Testamento;Gênesis;'22';24;558;2899
Velho Testamento;Gênesis;'23';20;469;2435
Velho Testamento;Gênesis;'24';67;1634;8390
Velho Testamento;Gênesis;'25';34;649;3445
Velho Testamento;Gênesis;'26';35;775;4267
Velho Testamento;Gênesis;'27';46;1133;5807
Velho Testamento;Gênesis;'28';22;538;2682
Velho Testamento;Gênesis;'29';35;757;3821
Velho Testamento;Gênesis;'30';43;906;4812
Velho Testamento;Gênesis;'31';55;1300;6775
Velho Testamento;Gênesis;'32';32;709;3694
Velho Testamento;Gênesis;'33';20;464;2430
Velho Testamento;Gênesis;'34';31;686;3732
Velho Testamento;Gênesis;'35';29;599;3115
Velho Testamento;Gênesis;'36';43;830;4287
Velho Testamento;Gênesis;'37';36;803;4358
Velho Testamento;Gênesis;'38';30;740;3784
Velho Testamento;Gênesis;'39';23;588;2972
Velho Testamento;Gênesis;'40';23;517;2723
Velho Testamento;Gênesis;'41';57;1257;6461
Velho Testamento;Gênesis;'42';38;851;4670
Velho Testamento;Gênesis;'43';34;829;4622
Velho Testamento;Gênesis;'44';34;780;4063
Velho Testamento;Gênesis;'45';28;698;3564
Velho Testamento;Gênesis;'46';34;701;3546
Velho Testamento;Gênesis;'47';31;900;4634
Velho Testamento;Gênesis;'48';22;609;3112
Velho Testamento;Gênesis;'49';33;684;3577
Velho Testamento;Gênesis;'50';26;622;3311
Velho Testamento;Êxodo;'1';22;419;2279
Velho Testamento;Êxodo;'2';25;574;2937
Velho Testamento;Êxodo;'3';22;655;3278
Velho Testamento;Êxodo;'4';31;761;3806
Velho Testamento;Êxodo;'5';23;522;2896
Velho Testamento;Êxodo;'6';30;663;3444
Velho Testamento;Êxodo;'7';25;641;3243
Velho Testamento;Êxodo;'8';32;842;4245
Velho Testamento;Êxodo;'9';35;896;4509
Velho Testamento;Êxodo;'10';29;829;4288
Velho Testamento;Êxodo;'11';10;289;1504
Velho Testamento;Êxodo;'12';51;1208;6627
Velho Testamento;Êxodo;'13';22;559;3017
Velho Testamento;Êxodo;'14';31;818;4307
Velho Testamento;Êxodo;'15';27;611;3395
Velho Testamento;Êxodo;'16';36;897;4805
Velho Testamento;Êxodo;'17';16;417;2204
Velho Testamento;Êxodo;'18';27;672;3419
Velho Testamento;Êxodo;'19';25;600;3222
Velho Testamento;Êxodo;'20';26;518;2639
Velho Testamento;Êxodo;'21';36;736;3810
Velho Testamento;Êxodo;'22';31;633;3393
Velho Testamento;Êxodo;'23';33;727;3890
Velho Testamento;Êxodo;'24';18;421;2191
Velho Testamento;Êxodo;'25';40;819;4299
Velho Testamento;Êxodo;'26';37;818;4544
Velho Testamento;Êxodo;'27';21;535;2829
Velho Testamento;Êxodo;'28';43;1046;5598
Velho Testamento;Êxodo;'29';46;1133;5973
Velho Testamento;Êxodo;'30';38;806;4391
Velho Testamento;Êxodo;'31';18;393;2097
Velho Testamento;Êxodo;'32';35;919;4892
Velho Testamento;Êxodo;'33';23;629;3217
Velho Testamento;Êxodo;'34';35;913;4926
Velho Testamento;Êxodo;'35';35;776;4098
Velho Testamento;Êxodo;'36';38;846;4602
Velho Testamento;Êxodo;'37';29;683;3479
Velho Testamento;Êxodo;'38';31;781;4032
Velho Testamento;Êxodo;'39';43;992;5226
Velho Testamento;Êxodo;'40';38;708;3764
Velho Testamento;Levítico;'1';17;433;2250
Velho Testamento;Levítico;'2';16;395;2206
Velho Testamento;Levítico;'3';17;425;2238
Velho Testamento;Levítico;'4';35;935;5019
Velho Testamento;Levítico;'5';19;587;3294
Velho Testamento;Levítico;'6';30;730;3863
Velho Testamento;Levítico;'7';38;872;4729
Velho Testamento;Levítico;'8';36;932;4789
Velho Testamento;Levítico;'9';24;551;2897
Velho Testamento;Levítico;'10';20;568;3186
Velho Testamento;Levítico;'11';47;1012;5284
Velho Testamento;Levítico;'12';8;219;1172
Velho Testamento;Levítico;'13';59;1567;8102
Velho Testamento;Levítico;'14';57;1461;7589
Velho Testamento;Levítico;'15';33;878;4438
Velho Testamento;Levítico;'16';34;967;5221
Velho Testamento;Levítico;'17';16;425;2359
Velho Testamento;Levítico;'18';30;597;3177
Velho Testamento;Levítico;'19';37;739;4145
Velho Testamento;Levítico;'20';27;732;3952
Velho Testamento;Levítico;'21';24;504;2709
Velho Testamento;Levítico;'22';33;745;4091
Velho Testamento;Levítico;'23';44;932;5446
Velho Testamento;Levítico;'24';23;468;2592
Velho Testamento;Levítico;'25';55;1250;6822
Velho Testamento;Levítico;'26';46;1103;6135
Velho Testamento;Levítico;'27';34;784;4194
Velho Testamento;Números;'1';54;1110;6101
Velho Testamento;Números;'2';34;744;4048
Velho Testamento;Números;'3';51;1158;6146
Velho Testamento;Números;'4';49;1260;6889
Velho Testamento;Números;'5';31;798;4316
Velho Testamento;Números;'6';27;655;3504
Velho Testamento;Números;'7';89;1698;9414
Velho Testamento;Números;'8';26;623;3431
Velho Testamento;Números;'9';23;602;3298
Velho Testamento;Números;'10';36;707;4025
Velho Testamento;Números;'11';35;906;4772
Velho Testamento;Números;'12';16;338;1736
Velho Testamento;Números;'13';33;626;3288
Velho Testamento;Números;'14';45;1009;5572
Velho Testamento;Números;'15';41;893;5071
Velho Testamento;Números;'16';50;1174;6390
Velho Testamento;Números;'17';13;300;1621
Velho Testamento;Números;'18';32;944;5130
Velho Testamento;Números;'19';22;603;3151
Velho Testamento;Números;'20';29;682;3648
Velho Testamento;Números;'21';35;815;4330
Velho Testamento;Números;'22';41;1048;5677
Velho Testamento;Números;'23';30;645;3525
Velho Testamento;Números;'24';25;571;3072
Velho Testamento;Números;'25';18;383;2027
Velho Testamento;Números;'26';65;1303;7234
Velho Testamento;Números;'27';23;539;2895
Velho Testamento;Números;'28';31;630;3603
Velho Testamento;Números;'29';40;844;4796
Velho Testamento;Números;'30';16;472;2375
Velho Testamento;Números;'31';54;1122;6037
Velho Testamento;Números;'32';42;919;4980
Velho Testamento;Números;'33';56;806;4643
Velho Testamento;Números;'34';29;556;2863
Velho Testamento;Números;'35';34;805;4430
Velho Testamento;Números;'36';13;392;2086
Velho Testamento;Deuteronômio;'1';46;1087;5931
Velho Testamento;Deuteronômio;'2';37;902;4866
Velho Testamento;Deuteronômio;'3';29;754;3961
Velho Testamento;Deuteronômio;'4';49;1354;7094
Velho Testamento;Deuteronômio;'5';33;783;4010
Velho Testamento;Deuteronômio;'6';25;558;2901
Velho Testamento;Deuteronômio;'7';26;761;3968
Velho Testamento;Deuteronômio;'8';20;521;2735
Velho Testamento;Deuteronômio;'9';29;852;4471
Velho Testamento;Deuteronômio;'10';22;536;2753
Velho Testamento;Deuteronômio;'11';32;826;4271
Velho Testamento;Deuteronômio;'12';32;941;4967
Velho Testamento;Deuteronômio;'13';18;515;2690
Velho Testamento;Deuteronômio;'14';29;608;3061
Velho Testamento;Deuteronômio;'15';23;595;3127
Velho Testamento;Deuteronômio;'16';22;589;3082
Velho Testamento;Deuteronômio;'17';20;585;3095
Velho Testamento;Deuteronômio;'18';22;505;2694
Velho Testamento;Deuteronômio;'19';21;535;2852
Velho Testamento;Deuteronômio;'20';20;543;2913
Velho Testamento;Deuteronômio;'21';23;604;3145
Velho Testamento;Deuteronômio;'22';30;736;3831
Velho Testamento;Deuteronômio;'23';25;538;3002
Velho Testamento;Deuteronômio;'24';22;562;2920
Velho Testamento;Deuteronômio;'25';19;465;2421
Velho Testamento;Deuteronômio;'26';19;582;2963
Velho Testamento;Deuteronômio;'27';26;509;2761
Velho Testamento;Deuteronômio;'28';68;1798;9280
Velho Testamento;Deuteronômio;'29';29;770;4045
Velho Testamento;Deuteronômio;'30';20;611;3119
Velho Testamento;Deuteronômio;'31';30;863;4678
Velho Testamento;Deuteronômio;'32';52;1160;6221
Velho Testamento;Deuteronômio;'33';29;725;3675
Velho Testamento;Deuteronômio;'34';12;295;1497
Velho Testamento;Josué;'1';18;493;2660
Velho Testamento;Josué;'2';24;686;3756
Velho Testamento;Josué;'3';17;479;2607
Velho Testamento;Josué;'4';24;590;3273
Velho Testamento;Josué;'5';15;481;2579
Velho Testamento;Josué;'6';27;780;4193
Velho Testamento;Josué;'7';26;800;4259
Velho Testamento;Josué;'8';35;1037;5490
Velho Testamento;Josué;'9';27;695;3835
Velho Testamento;Josué;'10';43;1257;6435
Velho Testamento;Josué;'11';23;658;3507
Velho Testamento;Josué;'12';24;470;2305
Velho Testamento;Josué;'13';33;779;4047
Velho Testamento;Josué;'14';15;437;2345
Velho Testamento;Josué;'15';63;983;4942
Velho Testamento;Josué;'16';10;240;1282
Velho Testamento;Josué;'17';18;586;3163
Velho Testamento;Josué;'18';28;708;3630
Velho Testamento;Josué;'19';51;879;4593
Velho Testamento;Josué;'20';9;280;1512
Velho Testamento;Josué;'21';45;934;5119
Velho Testamento;Josué;'22';34;1177;6484
Velho Testamento;Josué;'23';16;514;2683
Velho Testamento;Josué;'24';33;948;4986
Velho Testamento;Juízes;'1';36;874;4812
Velho Testamento;Juízes;'2';23;600;3272
Velho Testamento;Juízes;'3';31;786;4270
Velho Testamento;Juízes;'4';24;676;3562
Velho Testamento;Juízes;'5';31;678;3893
Velho Testamento;Juízes;'6';40;1128;5857
Velho Testamento;Juízes;'7';25;853;4584
